Log began at 2020-10-16-15-23-98-986
=> process: 2020-10-16-15-24-08-089; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-10-100; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-10-106; url:/users; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-10-109; url:/boards; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-12-124; url:/boards; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-13-134; url:/boards/77c1039c-7fa1-40fd-9761-bf0c2c39b11e; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-13-136; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-15-24-14-143; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-15-24-15-156; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-16-165; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-16-169; url:/users/2bebe447-fee8-434d-80fd-289a132a89ad; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-17-179; url:/users/2bebe447-fee8-434d-80fd-289a132a89ad; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-18-183; url:/boards/dfa8cc53-e49e-48b8-8b99-b15de82bb8dc; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-19-193; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-19-195; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-15-24-20-202; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-21-213; url:/boards/89ee788c-d778-40f7-ab5d-3c5be802cf64; method:PUT query params:null; body: id:89ee788c-d778-40f7-ab5d-3c5be802cf64 title:Autotest updated board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-21-218; url:/users/8a47bab4-5ded-4a5d-8e10-26dd3709c072; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-21-219; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/9f3e0eec-734e-411d-8565-8dcb4d453181; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-22-222; url:/boards/89ee788c-d778-40f7-ab5d-3c5be802cf64; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-22-224; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-15-24-22-226; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-15-24-23-231; url:/boards/89ee788c-d778-40f7-ab5d-3c5be802cf64; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-23-236; url:/users/20f89289-c3c6-43ab-b1c1-af916df04177; method:PUT query params:null; body: name:Autotest updated TEST_USER login:test_user password:T35t_P@55w0rd id:20f89289-c3c6-43ab-b1c1-af916df04177
=> process: 2020-10-16-15-24-23-238; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/bf794a75-5def-4d3b-b510-a28ae041c331; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-24-244; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-24-246; url:/users/20f89289-c3c6-43ab-b1c1-af916df04177; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-25-250; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks; method:POST query params:null; body: title:Autotest task order:0 description:Lorem ipsum userId:null boardId:null columnId:null
=> process: 2020-10-16-15-24-25-252; url:/boards/c7a1dc7d-e9e0-450a-adae-93f0838ceeec; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-25-253; url:/users/20f89289-c3c6-43ab-b1c1-af916df04177; method:DELETE query params:null; body:null
